Frequency,Angle,Length,Velocity,Thickness,Sound Pressure
1000,0,0.3048,71.3,0.00266337,125.201
6300,0,0.3048,71.3,0.00266337,119.541
2500,0,0.3048,55.5,0.00283081,124.106
200,0,0.3048,31.7,0.00331266,117.195
250,0,0.3048,31.7,0.00331266,118.595
400,0,0.3048,31.7,0.00331266,125.045
800,0,0.3048,31.7,0.00331266,129.235
16000,1.5,0.3048,71.3,0.00336729,106.582
1000,1.5,0.3048,39.6,0.00392107,127.581
2500,1.5,0.3048,39.6,0.00392107,120.981
800,3,0.3048,71.3,0.00425727,129.494
1250,3,0.3048,71.3,0.00425727,127.634
3150,3,0.3048,55.5,0.00452492,120.189
10000,3,0.3048,55.5,0.00452492,112.169
1600,3,0.3048,39.6,0.00495741,122.782
1000,3,0.3048,31.7,0.00529514,126.838
315,4,0.3048,71.3,0.00497773,128.175
500,4,0.3048,71.3,0.00497773,130.715
630,4,0.3048,71.3,0.00497773,131.615
1600,4,0.3048,71.3,0.00497773,126.645
2000,4,0.3048,71.3,0.00497773,124.395
250,4,0.3048,39.6,0.00579636,123.543
500,4,0.3048,39.6,0.00579636,130.173
1000,4,0.3048,39.6,0.00579636,128.723
4000,4,0.3048,39.6,0.00579636,115.863
20000,0,0.2286,71.3,0.00214345,114.474
1250,0,0.2286,55.5,0.00229336,127.91
315,0,0.2286,39.6,0.00253511,121.055
1250,0,0.2286,39.6,0.00253511,129.395
2000,0,0.2286,39.6,0.00253511,125.305
6300,0,0.2286,39.6,0.00253511,117.465
1250,0,0.2286,31.7,0.0027238,128.805
400,2,0.2286,71.3,0.00293031,125.116
1600,2,0.2286,71.3,0.00293031,127.796
4000,2,0.2286,71.3,0.00293031,124.086
3150,2,0.2286,55.5,0.00313525,123.742
4000,2,0.2286,55.5,0.00313525,122.232
800,2,0.2286,39.6,0.00346574,129.037
2500,2,0.2286,39.6,0.00346574,121.397
1000,2,0.2286,31.7,0.00372371,130.307
5000,2,0.2286,31.7,0.00372371,118.267
6300,2,0.2286,31.7,0.00372371,115.137
500,4,0.2286,55.5,0.0042862,127.314
400,4,0.2286,39.6,0.00473801,123.879
1000,4,0.2286,39.6,0.00473801,129.969
3150,4,0.2286,39.6,0.00473801,120.419
5000,4,0.2286,31.7,0.00509068,115.969
400,5.3,0.2286,71.3,0.0051942,127.7
800,5.3,0.2286,71.3,0.0051942,133.48
1250,5.3,0.2286,71.3,0.0051942,133.38
2000,5.3,0.2286,71.3,0.0051942,125.89
3150,5.3,0.2286,39.6,0.00614329,118.441
6300,7.3,0.2286,71.3,0.0104404,115.818
500,7.3,0.2286,55.5,0.0111706,133.174
630,7.3,0.2286,55.5,0.0111706,130.934
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
200,7.3,0.2286,31.7,0.0132672,128.679
315,7.3,0.2286,31.7,0.0132672,130.239
800,7.3,0.2286,31.7,0.0132672,123.209
1000,7.3,0.2286,31.7,0.0132672,119.099
1000,0,0.1524,71.3,0.0015988,127.307
4000,0,0.1524,71.3,0.0015988,128.857
6300,0,0.1524,55.5,0.00172668,123.303
8000,0,0.1524,55.5,0.00172668,121.903
12500,0,0.1524,55.5,0.00172668,117.093
1600,0,0.1524,39.6,0.00193287,131.013
4000,0,0.1524,39.6,0.00193287,125.343
10000,0,0.1524,39.6,0.00193287,115.413
800,0,0.1524,31.7,0.00209405,129.117
2500,0,0.1524,31.7,0.00209405,125.867
4000,0,0.1524,31.7,0.00209405,123.807
5000,0,0.1524,31.7,0.00209405,122.397
1000,2.7,0.1524,71.3,0.00243851,128.774
1250,2.7,0.1524,71.3,0.00243851,130.144
10000,2.7,0.1524,71.3,0.00243851,116.724
3150,2.7,0.1524,39.6,0.00294804,122.919
2000,5.4,0.1524,71.3,0.00401199,131.111
2500,5.4,0.1524,71.3,0.00401199,127.591
2500,7.2,0.1524,71.3,0.00752039,124.353
3150,7.2,0.1524,71.3,0.00752039,116.783
1250,7.2,0.1524,39.6,0.00909175,122.428
3150,7.2,0.1524,39.6,0.00909175,111.818
10000,7.2,0.1524,39.6,0.00909175,110.868
800,9.9,0.1524,71.3,0.0193001,128.879
4000,9.9,0.1524,71.3,0.0193001,115.079
630,9.9,0.1524,55.5,0.0208438,127.315
800,9.9,0.1524,55.5,0.0208438,126.565
1600,9.9,0.1524,55.5,0.0208438,119.875
4000,9.9,0.1524,55.5,0.0208438,112.945
2500,9.9,0.1524,39.6,0.0233328,116.295
6300,9.9,0.1524,39.6,0.0233328,109.885
1250,9.9,0.1524,31.7,0.0252785,118.619
