PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-1.14-11-52,0,BarChart,54.78917,55.0,-1.574194
p.2017-11-1.14-11-52,1,PieChart,71.1358,80.0,3.1681921
p.2017-11-1.14-11-52,2,BarChart,54.06924,50.0,2.0684094
p.2017-11-1.14-11-52,3,PieChart,56.897808,60.0,1.6902794
p.2017-11-1.14-11-52,4,BarChart,62.011242,60.0,1.095075
p.2017-11-1.14-11-52,5,PieChart,65.91263,70.0,2.0746326
p.2017-11-1.14-17-59,0,BarChart,47.15755,48.0,-0.047742207
p.2017-11-1.14-17-59,1,PieChart,23.579126,12.0,3.5489452
p.2017-11-1.14-17-59,2,BarChart,71.43286,70.0,0.6395668
p.2017-11-1.14-17-59,3,PieChart,22.57942,18.0,2.234017
p.2017-11-1.14-17-59,4,BarChart,66.87373,65.0,0.99908614
p.2017-11-1.14-17-59,5,PieChart,69.18758,80.0,3.451201
p.2017-11-1.14-9-30,0,BarChart,72.72108,75.0,1.2653908
p.2017-11-1.14-9-30,1,PieChart,49.171543,50.0,-0.0687604
p.2017-11-1.14-9-30,2,BarChart,51.792244,60.0,3.0587935
p.2017-11-1.14-9-30,3,PieChart,67.62243,65.0,1.4580822
p.2017-11-1.14-9-30,4,BarChart,41.783863,40.0,0.93271357
p.2017-11-1.14-9-30,5,PieChart,32.916534,33.0,-2.2621188
p.2017-11-1.21-51-5,0,BarChart,20.90246,15.0,2.59155
p.2017-11-1.21-51-5,1,PieChart,65.07837,50.0,3.9263191
p.2017-11-1.21-51-5,2,BarChart,27.051493,25.0,1.1220052
p.2017-11-1.21-51-5,3,PieChart,92.634926,98.0,2.4568257
p.2017-11-1.21-51-5,4,BarChart,98.78835,100.0,0.41861853
p.2017-11-1.21-51-5,5,PieChart,69.06896,87.0,4.1744094
p.2017-11-2.8-40-46,0,BarChart,89.0144,85.0,2.0494204
p.2017-11-2.8-40-46,1,PieChart,60.954395,50.0,3.4698071
p.2017-11-2.8-40-46,2,BarChart,66.181984,85.0,4.243594
p.2017-11-2.8-40-46,3,PieChart,77.08485,60.0,4.105162
p.2017-11-2.8-40-46,4,BarChart,85.31345,85.0,-1.1895037
p.2017-11-2.8-40-46,5,PieChart,77.51314,60.0,4.1406264
p.2017-11-2.8-47-29,0,BarChart,70.28875,70.0,-1.2731699
p.2017-11-2.8-47-29,1,PieChart,73.786644,80.0,2.6641088
p.2017-11-2.8-47-29,2,BarChart,27.379517,25.0,1.3245322
p.2017-11-2.8-47-29,3,PieChart,65.985115,80.0,3.8216984
p.2017-11-2.8-47-29,4,BarChart,93.60256,95.0,0.6063835
p.2017-11-2.8-47-29,5,PieChart,82.12892,100.0,4.1696105
p.2017-11-2.8-50-38,0,BarChart,45.52173,50.0,2.2026596
p.2017-11-2.8-50-38,1,PieChart,71.98706,80.0,3.0246637
p.2017-11-2.8-50-38,2,BarChart,31.800117,30.0,0.94494647
p.2017-11-2.8-50-38,3,PieChart,48.77853,50.0,0.42918196
p.2017-11-2.8-50-38,4,BarChart,40.61346,50.0,3.2496789
p.2017-11-2.8-50-38,5,PieChart,75.1772,75.0,-1.7264229
