PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-18.19-59-48,0,sample,20.277441,4.0,4.0358386
p.2017-11-18.19-59-48,1,PieChart,9.569412,10.0,-0.84791327
p.2017-11-18.19-59-48,2,sample,11.55227,18.0,2.716493
p.2017-11-18.19-59-48,3,PieChart,6.3986096,8.0,0.7877587
p.2017-11-18.19-59-48,4,sample,16.001385,8.0,3.0226138
p.2017-11-18.19-59-48,5,PieChart,10.630371,15.0,2.168202
p.2017-11-18.20-11-4,0,sample,15.504391,8.0,2.9315677
p.2017-11-18.20-11-4,1,PieChart,13.844562,12.0,0.9778745
p.2017-11-18.20-11-4,2,sample,10.6813345,8.0,1.488687
p.2017-11-18.20-11-4,3,PieChart,9.857584,15.0,2.3970954
p.2017-11-18.20-11-4,4,sample,14.5571165,8.0,2.7403052
p.2017-11-18.20-11-4,5,PieChart,13.268963,12.0,0.4791921
p.2017-11-18.20-5-40,0,sample,11.05676,10.0,0.24093688
p.2017-11-18.20-5-40,1,PieChart,5.0494976,5.0,-2.5187209
p.2017-11-18.20-5-40,2,sample,10.474229,13.0,1.4064121
p.2017-11-18.20-5-40,3,PieChart,10.791286,15.0,2.115604
p.2017-11-18.20-5-40,4,sample,10.474491,60.0,5.6337366
p.2017-11-18.20-5-40,5,PieChart,12.575751,10.0,1.4333608
p.2017-11-20.11-13-14,0,sample,12.800639,7.0,2.5669708
p.2017-11-20.11-13-14,1,PieChart,9.377971,7.0,1.3236414
p.2017-11-20.11-13-14,2,sample,12.986381,5.0,3.0199475
p.2017-11-20.11-13-14,3,PieChart,8.790431,11.0,1.2231562
p.2017-11-20.11-13-14,4,sample,10.094147,9.0,0.28587177
p.2017-11-20.11-13-14,5,PieChart,11.399512,11.0,-0.93095154
p.2017-11-20.11-18-7,0,sample,10.910642,8.0,1.6020015
p.2017-11-20.11-18-7,1,PieChart,11.969919,6.0,2.6076071
p.2017-11-20.11-18-7,2,sample,10.820283,5.0,2.5717454
p.2017-11-20.11-18-7,3,PieChart,13.645537,9.0,2.2541518
p.2017-11-20.11-18-7,4,sample,6.949686,14.0,2.843042
p.2017-11-20.11-18-7,5,PieChart,12.698404,10.0,1.4974357
p.2017-11-20.11-33-10,0,sample,14.560878,6.0,3.118672
p.2017-11-20.11-33-10,1,PieChart,7.9729137,12.5,2.2178779
p.2017-11-20.11-33-10,2,sample,13.0195675,4.0,3.192915
p.2017-11-20.11-33-10,3,PieChart,12.906901,10.0,1.600223
p.2017-11-20.11-33-10,4,sample,8.113413,10.0,1.0083342
p.2017-11-20.11-33-10,5,PieChart,14.688678,17.0,1.2847049
p.2017-11-20.12-12-20,0,sample,10.73206,10.0,-0.22253117
p.2017-11-20.12-12-20,1,PieChart,11.063861,12.0,0.085613795
p.2017-11-20.12-12-20,2,sample,9.768152,7.0,1.5326424
p.2017-11-20.12-12-20,3,PieChart,14.546729,12.0,1.4177737
p.2017-11-20.12-12-20,4,sample,13.458641,1.0,3.6534777
p.2017-11-20.12-12-20,5,PieChart,15.803327,15.0,-0.107295625
