PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-19.22-11-6,0,sample,10.724916,10.0,-0.23460706
p.2017-11-19.22-11-6,1,PieChart,13.747893,12.0,0.9052688
p.2017-11-19.22-11-6,2,sample,10.902049,8.0,1.5979121
p.2017-11-19.22-11-6,3,PieChart,14.732061,10.0,2.2800837
p.2017-11-19.22-11-6,4,sample,14.923007,7.0,3.0086315
p.2017-11-19.22-11-6,5,PieChart,11.138234,10.0,0.33712208
p.2017-11-19.22-12-31,0,sample,8.514825,10.0,0.6872176
p.2017-11-19.22-12-31,1,PieChart,11.632074,15.0,1.804436
p.2017-11-19.22-12-31,2,sample,17.622835,5.0,3.6721804
p.2017-11-19.22-12-31,3,PieChart,13.325121,10.0,1.786647
p.2017-11-19.22-12-31,4,sample,8.05355,10.0,1.0506412
p.2017-11-19.22-12-31,5,PieChart,10.689429,8.0,1.4928424
p.2017-11-19.22-15-20,0,sample,11.114162,15.0,2.0039034
p.2017-11-19.22-15-20,1,PieChart,13.423435,10.0,1.8271829
p.2017-11-19.22-15-20,2,sample,13.7783,12.0,0.9285032
p.2017-11-19.22-15-20,3,PieChart,5.517143,5.0,-0.639034
p.2017-11-19.22-15-20,4,sample,8.055292,20.0,3.5933187
p.2017-11-19.22-15-20,5,PieChart,13.678529,10.0,1.9273385
p.2017-11-20.11-15-36,0,sample,11.338522,6.0,2.4498312
p.2017-11-20.11-15-36,1,PieChart,13.638104,5.0,3.1314423
p.2017-11-20.11-15-36,2,sample,9.76958,10.0,-1.4924028
p.2017-11-20.11-15-36,3,PieChart,4.1162963,4.0,-2.0511224
p.2017-11-20.11-15-36,4,sample,10.649504,9.0,0.8274156
p.2017-11-20.11-15-36,5,PieChart,8.993668,9.0,-2.9287052
p.2017-11-20.12-18-57,0,sample,13.452267,5.0,3.100518
p.2017-11-20.12-18-57,1,PieChart,11.851722,8.0,1.9915795
p.2017-11-20.12-18-57,2,sample,10.31994,10.0,-1.1683185
p.2017-11-20.12-18-57,3,PieChart,10.277553,12.0,0.8855333
p.2017-11-20.12-18-57,4,sample,13.356089,8.0,2.4544625
p.2017-11-20.12-18-57,5,PieChart,11.034728,3.0,3.0285208
p.2017-11-20.12-35-8,0,sample,9.710075,9.0,-0.26002166
p.2017-11-20.12-35-8,1,PieChart,12.930942,5.0,3.0100532
p.2017-11-20.12-35-8,2,sample,10.149467,12.0,0.9822416
p.2017-11-20.12-35-8,3,PieChart,15.391507,15.0,-0.9531398
p.2017-11-20.12-35-8,4,sample,9.016727,14.0,2.3528354
p.2017-11-20.12-35-8,5,PieChart,8.840795,10.0,0.36087602
p.2017-11-20.13-12-9,0,sample,11.825235,7.0,2.307497
p.2017-11-20.13-12-9,1,PieChart,14.305732,12.0,1.2813907
p.2017-11-20.13-12-9,2,sample,6.565456,10.0,1.8316925
p.2017-11-20.13-12-9,3,PieChart,10.350125,10.0,-1.07362
p.2017-11-20.13-12-9,4,sample,8.10495,10.0,1.014391
p.2017-11-20.13-12-9,5,PieChart,15.2251215,12.0,1.7442135
p.2017-11-20.13-13-53,0,sample,10.888529,9.0,1.0097262
p.2017-11-20.13-13-53,1,PieChart,11.626749,11.0,-0.41167697
p.2017-11-20.13-13-53,2,sample,12.690183,5.0,2.9662797
p.2017-11-20.13-13-53,3,PieChart,12.99207,7.0,2.6128407
p.2017-11-20.13-13-53,4,sample,6.7673426,14.0,2.8792465
p.2017-11-20.13-13-53,5,PieChart,11.986202,14.0,1.0968001
p.2017-11-20.13-15-7,0,sample,8.369083,9.0,-0.40370104
p.2017-11-20.13-15-7,1,PieChart,10.599616,6.0,2.2401972
p.2017-11-20.13-15-7,2,sample,11.583806,5.0,2.746056
p.2017-11-20.13-15-7,3,PieChart,9.8675785,9.0,-0.01074688
p.2017-11-20.13-15-7,4,sample,7.9372044,11.0,1.6725591
p.2017-11-20.13-15-7,5,PieChart,9.415642,3.5,2.594702
p.2017-11-20.13-16-47,0,sample,12.089135,6.0,2.6355536
p.2017-11-20.13-16-47,1,PieChart,7.0448637,3.5,1.8757266
p.2017-11-20.13-16-47,2,sample,15.106777,2.0,3.725935
p.2017-11-20.13-16-47,3,PieChart,16.46899,14.0,1.3751731
p.2017-11-20.13-16-47,4,sample,12.608094,7.0,2.519314
p.2017-11-20.13-16-47,5,PieChart,12.9263525,9.0,2.0184038
p.2017-11-20.13-17-47,0,sample,9.232701,8.0,0.4411661
p.2017-11-20.13-17-47,1,PieChart,11.5725975,12.0,-0.8562082
p.2017-11-20.13-17-47,2,sample,7.4580593,10.0,1.4151857
p.2017-11-20.13-17-47,3,PieChart,7.5537453,3.0,2.2261217
p.2017-11-20.13-17-47,4,sample,12.615779,2.0,3.4250267
p.2017-11-20.13-17-47,5,PieChart,14.865701,10.0,2.3192425
p.2017-11-20.13-20-12,0,sample,11.182772,11.0,-1.7000676
p.2017-11-20.13-20-12,1,PieChart,6.4904337,4.0,1.3870503
p.2017-11-20.13-20-12,2,sample,13.152673,8.0,2.3999019
p.2017-11-20.13-20-12,3,PieChart,7.062555,3.0,2.066108
p.2017-11-20.13-20-12,4,sample,7.8429375,15.0,2.8643472
p.2017-11-20.13-20-12,5,PieChart,8.986392,8.0,0.15236779
