PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-19.22-11-6,0,sample,10.724916,10.0,-0.23460706
p.2017-11-19.22-11-6,1,PieChart,13.747893,12.0,0.9052688
p.2017-11-19.22-11-6,2,sample,10.902049,8.0,1.5979121
p.2017-11-19.22-11-6,3,PieChart,14.732061,10.0,2.2800837
p.2017-11-19.22-11-6,4,sample,14.923007,7.0,3.0086315
p.2017-11-19.22-11-6,5,PieChart,11.138234,10.0,0.33712208
p.2017-11-19.22-12-31,0,sample,8.514825,10.0,0.6872176
p.2017-11-19.22-12-31,1,PieChart,11.632074,15.0,1.804436
p.2017-11-19.22-12-31,2,sample,17.622835,5.0,3.6721804
p.2017-11-19.22-12-31,3,PieChart,13.325121,10.0,1.786647
p.2017-11-19.22-12-31,4,sample,8.05355,10.0,1.0506412
p.2017-11-19.22-12-31,5,PieChart,10.689429,8.0,1.4928424
p.2017-11-19.22-15-20,0,sample,11.114162,15.0,2.0039034
p.2017-11-19.22-15-20,1,PieChart,13.423435,10.0,1.8271829
p.2017-11-19.22-15-20,2,sample,13.7783,12.0,0.9285032
p.2017-11-19.22-15-20,3,PieChart,5.517143,5.0,-0.639034
p.2017-11-19.22-15-20,4,sample,8.055292,20.0,3.5933187
p.2017-11-19.22-15-20,5,PieChart,13.678529,10.0,1.9273385
p.2017-11-20.12-18-57,0,sample,13.452267,5.0,3.100518
p.2017-11-20.12-18-57,1,PieChart,11.851722,8.0,1.9915795
p.2017-11-20.12-18-57,2,sample,10.31994,10.0,-1.1683185
p.2017-11-20.12-18-57,3,PieChart,10.277553,12.0,0.8855333
p.2017-11-20.12-18-57,4,sample,13.356089,8.0,2.4544625
p.2017-11-20.12-18-57,5,PieChart,11.034728,3.0,3.0285208
p.2017-11-20.12-35-8,0,sample,9.710075,9.0,-0.26002166
p.2017-11-20.12-35-8,1,PieChart,12.930942,5.0,3.0100532
p.2017-11-20.12-35-8,2,sample,10.149467,12.0,0.9822416
p.2017-11-20.12-35-8,3,PieChart,15.391507,15.0,-0.9531398
p.2017-11-20.12-35-8,4,sample,9.016727,14.0,2.3528354
p.2017-11-20.12-35-8,5,PieChart,8.840795,10.0,0.36087602
